component,count
0,26492
77309411334,5
171798691843,5
240518168606,5
695784702079,4
25769803826,3
103079215139,3
369367187573,3
8589934718,2
17179869219,2
85899345958,2
94489280512,2
137438953530,2
163208757347,2
171798691916,2
240518168642,2
274877907009,2
292057776151,2
300647710764,2
317827579926,2
335007449172,2
352187318273,2
369367187467,2
369367187537,2
403726925958,2
429496729709,2
429496729650,2
438086664228,2
438086664270,2
438086664286,2
455266533465,2
472446402659,2
481036337264,2
498216206350,2
523986010193,2
541165879385,2
558345748542,2
601295421454,2
652835029108,2
712964571174,2
790273982499,2
824633720899,2
901943132176,2
927712935971,2
987842478120,2
987842478193,2
996432412785,2
996432412761,2
1039382085689,2
1056561954833,2
1073741824087,2
1331439861889,2
31,1
106,1
100,1
55,1
91,1
8589934628,1
8589934667,1
8589934712,1
8589934633,1
8589934673,1
17179869282,1
17179869284,1
17179869266,1
17179869194,1
17179869302,1
25769803903,1
25769803888,1
25769803854,1
25769803861,1
25769803880,1
25769803906,1
34359738480,1
34359738461,1
34359738497,1
34359738426,1
34359738370,1
34359738469,1
34359738468,1
34359738432,1
42949672971,1
42949672983,1
42949673014,1
42949673049,1
42949672986,1
42949673096,1
51539607683,1
51539607580,1
51539607661,1
60129542234,1
60129542177,1
60129542163,1
60129542264,1
60129542243,1
68719476776,1
68719476832,1
68719476783,1
68719476859,1
68719476825,1
68719476781,1
68719476843,1
68719476836,1
68719476830,1
68719476813,1
68719476839,1
68719476870,1
77309411352,1
77309411354,1
77309411379,1
77309411336,1
77309411363,1
77309411349,1
85899346051,1
85899346001,1
85899345959,1
85899345945,1
85899345971,1
85899345954,1
85899345926,1
85899346020,1
85899345927,1
85899346055,1
85899346034,1
94489280654,1
94489280594,1
94489280639,1
94489280523,1
94489280603,1
94489280577,1
103079215170,1
103079215150,1
103079215118,1
103079215112,1
103079215192,1
103079215132,1
111669149781,1
111669149815,1
111669149777,1
111669149794,1
111669149780,1
120259084388,1
120259084428,1
120259084299,1
120259084320,1
120259084305,1
120259084381,1
120259084374,1
128849018930,1
128849019013,1
128849018936,1
128849018939,1
128849018998,1
128849018956,1
128849018910,1
128849018947,1
128849018890,1
128849018924,1
137438953531,1
137438953533,1
137438953580,1
137438953547,1
137438953619,1
146028888086,1
146028888109,1
146028888080,1
146028888069,1
146028888194,1
146028888119,1
146028888088,1
146028888105,1
154618822767,1
154618822698,1
154618822720,1
154618822694,1
154618822784,1
163208757381,1
163208757308,1
163208757294,1
163208757276,1
163208757279,1
163208757363,1
163208757265,1
163208757277,1
163208757321,1
163208757307,1
163208757328,1
163208757325,1
163208757360,1
171798691872,1
171798691864,1
171798691901,1
171798691867,1
171798691905,1
171798691938,1
180388626463,1
180388626554,1
180388626465,1
180388626544,1
180388626531,1
188978561083,1
188978561155,1
188978561161,1
188978561042,1
188978561074,1
188978561088,1
188978561057,1
188978561096,1
188978561152,1
188978561110,1
